tinyId	designation	question_text	definition	datatype	permissible_values	classification	concept_codes	external_ids	steward_org	registration_status	nih_endorsed
Xykg1ZQc057	Child and Adolescent Scale of Participation (CASP) -Change made to home community school for child text		Text describing changes made to home, community or school (or work) setting to help child participate, as part of the Child and Adolescent Scale of Participation (CASP).	Text		NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C52004; BRICS Variable Name:CASPChngHouseCommSchoolTxt	NINDS	Qualified	False
7kjmRlQ9CqQ	Child and Adolescent Scale of Participation (CASP) -Educational material use scale		Scale to rate level of participation in using educational materials and equipment that are available to other children or that have been modified, compared to other children their age, as part of the Child and Adolescent Scale of Participation (CASP).	Value List	1=Unable, your child can not participate in the activities, although other children his or her age do participate. | 2=Very limited, your child participates in the activities much less than other children his or her age [Your child may also need a lot of supervision or assistance] | 3=Somewhat limited, your child participates in the activities somewhat less than other children his or her age [Your child may also need occasional supervision or assistance] | 4=Age expected (Full participation), your child participates in the activities the same as or more than other children his or her age [With or without assistive devices or equipment] | Not applicable=Not applicable, other children your child's age would not be expected to participate in the activities.	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C52003; BRICS Variable Name:CASPEduMaterialUseScl	NINDS	Qualified	False
XJ_gqhcjhjg	Child anxious new situations AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65096-0	LOINC	Qualified	False
71Csqqshse	Child anyone murdered LTVH			Value List	Yes | No	PhenX > Miscellaneous		LOINC:67116-4	LOINC	Qualified	False
Q1jf29i2oe	Child appear sleepy day PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64550-7	LOINC	Qualified	False
mk5kP9ihsx	Child attended day care PhenX		Attendance continuing = reference date	Value List	1=Yes | 2=No | 7=Refused | 9=Don't know	PhenX > Miscellaneous		LOINC:63843-7	LOINC	Qualified	False
7kjywqinig	Child attended preschool PhenX			Value List	1=Yes | 2=No | 7=Refused | 9=Don't know	PhenX > Miscellaneous		LOINC:63844-5	LOINC	Qualified	False
Xk_W_P5ohog	Child awareness PhenX			Value List	1=Very low | 2 | 3 | 4=Normal for age | 5 | 6 | 7=Very high	PhenX > Miscellaneous		LOINC:67277-4	LOINC	Qualified	False
mkzZZhqo3oe	Child bang head rock body PhenX			Value List	Yes | No	PhenX > Miscellaneous		LOINC:64537-4	LOINC	Qualified	False
m1fznqihie	Child bedtime change a lot PhenX			Value List	Yes | No	PhenX > Miscellaneous		LOINC:64541-6	LOINC	Qualified	False
myO5I9i3jg	Child beverage per D amount PhenX			Number		PhenX > Miscellaneous		LOINC:63976-5	LOINC	Qualified	False
Qylnvqs2sg	Child born health problems PhenX			Value List	1=Yes | 2=No | 7=Refused | 9=Don't know	PhenX > Miscellaneous		LOINC:64782-6	LOINC	Qualified	False
7yExZh5s2sg	Child breathe through mouth day PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64523-4	LOINC	Qualified	False
m1Deb29ohix	Child burning feeling throat night PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64526-7	LOINC	Qualified	False
QJaeM25o3sx	Child caffeinated beverage PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64566-3	LOINC	Qualified	False
mJAez2cinix	Child caffeinated beverage quant PhenX			Number		PhenX > Miscellaneous		LOINC:64567-1	LOINC	Qualified	False
7JQh5insg	Child cigarette tobacco freq nRate PhenX			Text		PhenX > Miscellaneous		LOINC:64572-1	LOINC	Qualified	False
QJ252qs3ox	Child collect categories AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65091-1	LOINC	Qualified	False
QyPqIcs2ix	Child consume beverage past W PhenX			Value List	Yes | No	PhenX > Miscellaneous		LOINC:63975-7	LOINC	Qualified	False
7ydesqco2ix	Child could not stop LTVH			Value List	Yes | No	PhenX > Miscellaneous		LOINC:66935-8	LOINC	Qualified	False
71dmn9onox	Child current med freq nRate PhenX			Text		PhenX > Miscellaneous		LOINC:64582-0	LOINC	Qualified	False
XyKQhqo2sl	Child current medication date PhenX			Text		PhenX > Miscellaneous		LOINC:64583-8	LOINC	Qualified	False
7kvmh9ihil	Child current medication dose PhenX			Text		PhenX > Miscellaneous		LOINC:64581-2	LOINC	Qualified	False
mJ5m2qsnjg	Child current medication effect PhenX			Text		PhenX > Miscellaneous		LOINC:64584-6	LOINC	Qualified	False
Xkkbt25i2jl	Child daily routine AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65075-4	LOINC	Qualified	False
7JWgj59onjg	Child dead body LTVH			Value List	Yes | No	PhenX > Miscellaneous		LOINC:67119-8	LOINC	Qualified	False
X1uWnqonjl	Child describe restless legs bed PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64511-9	LOINC	Qualified	False
71Eeoqqo2se	Child destroyed property LTVH			Value List	Yes | No	PhenX > Miscellaneous		LOINC:67122-2	LOINC	Qualified	False
7yyZZh9j2ie	Child diff falling asleep night PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64534-1	LOINC	Qualified	False
m1p5nco3og	Child diff imagine someone else AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65092-9	LOINC	Qualified	False
m1Ncn9ihix	Child diff phone conversation AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65083-8	LOINC	Qualified	False
X1Ngqhqo2jx	Child diff remember birth dates AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65099-4	LOINC	Qualified	False
mkceFnci2je	Child diff understand characters AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65070-5	LOINC	Qualified	False
m185nconoe	Child diff understand joke AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65085-3	LOINC	Qualified	False
71lxq25j3jl	Child diff work out intentions AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65095-2	LOINC	Qualified	False
XyrxMh5onie	Child difficulty breathing ever PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64559-8	LOINC	Qualified	False
mydgMhqo2ie	Child difficulty breathing surgery PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64561-4	LOINC	Qualified	False
7JxbYh5s3je	Child difficulty conversation AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65076-2	LOINC	Qualified	False
m1G3wci3ox	Child difficulty seeing 12Mo PhenX			Value List	1=Yes | 2=No | 7=Refused | 9=Don't know	PhenX > Miscellaneous		LOINC:64784-2	LOINC	Qualified	False
mkuet25onog	Child dominate conversation AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65068-9	LOINC	Qualified	False
Q1SxF3qo2je	Child drawn to people AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65065-5	LOINC	Qualified	False
m1SlW2qsnse	Child dry mouth waking PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64524-2	LOINC	Qualified	False
m1KY3qo2og	Child easy create picture mind AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65053-1	LOINC	Qualified	False
myX5ncs2sg	Child easy to multi-task AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65082-0	LOINC	Qualified	False
XkPqh9shox	Child easy to read face AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65086-1	LOINC	Qualified	False
XJwxth9ihsx	Child enjoy chit-chat AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65067-1	LOINC	Qualified	False
XJ0939snje	Child enjoy planning activities AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65093-7	LOINC	Qualified	False
XJBcn9i2sg	Child enjoy spontaneity AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65084-6	LOINC	Qualified	False
QyGgcn5ohie	Child enjoys meeting new people AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65097-8	LOINC	Qualified	False
m11x5h5i3sx	Child enjoys social occasions AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65094-5	LOINC	Qualified	False
71T3Dqo3sx	Child eye patch date PhenX			Text		PhenX > Miscellaneous		LOINC:64791-7	LOINC	Qualified	False
QJ22Pqohjl	Child eye patch ever PhenX			Value List	1=Yes | 2=No | 7=Refused | 9=Don't know	PhenX > Miscellaneous		LOINC:65874-0	LOINC	Qualified	False
7k7hwcs3oe	Child eye problem diagnosis PhenX			Value List	1=Yes | 2=No | 7=Refused | 9=Don't know	PhenX > Miscellaneous		LOINC:64785-9	LOINC	Qualified	False
XkNnD9i3se	Child eye problem dx date PhenX			Text		PhenX > Miscellaneous		LOINC:64786-7	LOINC	Qualified	False
XyklY3cjhoe	Child fascinated dates AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65059-8	LOINC	Qualified	False
mJKlth9j3sg	Child fascinated numbers AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65069-7	LOINC	Qualified	False
m15f35s3se	Child feel sleepy day PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64549-9	LOINC	Qualified	False
myXz39jhol	Child get up change a lot PhenX			Value List	Yes | No	PhenX > Miscellaneous		LOINC:64542-4	LOINC	Qualified	False
mkilqI9j2ix	Child glasses contacts currently PhenX			Value List	1=No | 2=Glasses | 3=Contact lenses	PhenX > Miscellaneous		LOINC:64871-7	LOINC	Qualified	False
Xy9c39s3ie	Child go on one thing AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65089-5	LOINC	Qualified	False
Qy7x9hqi2jg	Child good diplomat AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65098-6	LOINC	Qualified	False
Qyt925jhjx	Child good social chit-chat AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65088-7	LOINC	Qualified	False
7y_e_nqonoe	Child grind teeth night PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64527-5	LOINC	Qualified	False
myKW2qsnjx	Child growing leg pains PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64512-7	LOINC	Qualified	False
mJ9b2cs3ig	Child growing pains worst bed PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64513-5	LOINC	Qualified	False
Q12eY25i2jg	Child hard make friends AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65072-1	LOINC	Qualified	False
XJTfnco3jx	Child hard wake up morn PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64552-3	LOINC	Qualified	False
Qk1xznqi3sg	Child headache once Mo PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64554-9	LOINC	Qualified	False
XkWhwqo2jx	Child health problem specify PhenX			Text		PhenX > Miscellaneous		LOINC:64783-4	LOINC	Qualified	False
X1b_hcjhjl	Child heavy loud breathing PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64504-4	LOINC	Qualified	False
m1fXncjnoe	Child high-arched palate mouth PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64575-4	LOINC	Qualified	False
myvicqjnsg	Child hurt by weapon LTVH			Value List	Yes | No	PhenX > Miscellaneous		LOINC:67112-3	LOINC	Qualified	False
mJCK2qs2jx	Child imagine story characters AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65058-0	LOINC	Qualified	False
7J3e0Lqo3oe	Child immune system problem PhenX			Value List	0=No | 1=Yes | 9=Don't know	PhenX > Miscellaneous		LOINC:66387-2	LOINC	Qualified	False
mkjgGn5ihox	Child irresistible urge nap PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64564-8	LOINC	Qualified	False
QkTo59o3jg	Child known someone murdered LTVH			Value List	Yes | No	PhenX > Miscellaneous		LOINC:66933-3	LOINC	Qualified	False
71sW3cj2sg	Child legs brief kicks PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64514-3	LOINC	Qualified	False
QJnWn5s3oe	Child legs repeated kicks PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64515-0	LOINC	Qualified	False
XJ7lK35jhjx	Child library over party AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65063-0	LOINC	Qualified	False
X18mncsnix	Child long term medical problem PhenX			Text		PhenX > Miscellaneous		LOINC:64579-6	LOINC	Qualified	False
71EeKh5ihje	Child make up stories easy AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65064-8	LOINC	Qualified	False
QyH7h9shje	Child medical problem PhenX			Text		PhenX > Miscellaneous		LOINC:64578-8	LOINC	Qualified	False
QyS2w5shil	Child need glasses contacts PhenX			Value List	1=Yes | 2=No | 7=Refused | 9=Don't know	PhenX > Miscellaneous		LOINC:65871-6	LOINC	Qualified	False
71CxZn5i2il	Child neither awake asleep PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64533-3	LOINC	Qualified	False
mJGl_hqi2jx	Child night congested nose PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64521-8	LOINC	Qualified	False
mkxlW2qj3se	Child night urinate times PhenX			Number		PhenX > Miscellaneous		LOINC:64519-2	LOINC	Qualified	False
QJheZ3cs3og	Child nightmare PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64531-7	LOINC	Qualified	False
mJoeY25ohsg	Child not enjoy reading AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65071-3	LOINC	Qualified	False
Qkxc35jhsx	Child not remember phone numbers AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65079-6	LOINC	Qualified	False
mJXlXnqsnse	Child not seem listen PhenX			Value List	0=Does not apply | 1=Applies just a little | 2=Applies quite a bit | 3=Definitely applies most of the time	PhenX > Miscellaneous		LOINC:65849-2	LOINC	Qualified	False
QyzlFnqonsx	Child notice details AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65062-2	LOINC	Qualified	False
mkW93cinsx	Child notice small changes AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65080-4	LOINC	Qualified	False
mJhY2qs3ig	Child notices licwnse plates AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65056-4	LOINC	Qualified	False
mkTeY35jhse	Child notices patterns AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65073-9	LOINC	Qualified	False
mkotnqsnil	Child notices small sounds AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65055-6	LOINC	Qualified	False
7yXbiD9o3se	Child other eye vision problems PhenX			Value List	1=Yes | 2=No | 7=Refused | 9=Don't know	PhenX > Miscellaneous		LOINC:64988-9	LOINC	Qualified	False
myR3v9onsg	Child overall health PhenX			Value List	1=Excellent | 2=Very Good | 3=Good | 4=Fair | 5=Poor | 8=Refused | 9=Don't know	PhenX > Miscellaneous		LOINC:64792-5	LOINC	Qualified	False
Qylm29i3je	Child overweight PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64573-9	LOINC	Qualified	False
myOYnqjnsx	Child prefer do things same way AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65052-3	LOINC	Qualified	False
XkDY25s3oe	Child prefer things with others AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65051-5	LOINC	Qualified	False
QJkZC8qinjg	Child pregnant PhenX			Value List	0=No | 1=Yes | 9=Don't know	PhenX > Miscellaneous		LOINC:66390-6	LOINC	Qualified	False
X1i5n9inog	Child pretend w other children AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65090-3	LOINC	Qualified	False
QkAmn5j3ix	Child psych behav dx PhenX			Text		PhenX > Miscellaneous		LOINC:64588-7	LOINC	Qualified	False
m11gmhqonje	Child psych behav start date PhenX			Text		PhenX > Miscellaneous		LOINC:64589-5	LOINC	Qualified	False
Xkgl735ihje	Child psych behavior still present PhenX			Value List	Yes | No	PhenX > Miscellaneous		LOINC:65845-0	LOINC	Qualified	False
myWbKh9o3il	Child read between lines AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65077-0	LOINC	Qualified	False
mJZZzh5j3ie	Child recreat drug freq nRate PhenX			Text		PhenX > Miscellaneous		LOINC:64590-3	LOINC	Qualified	False
XyyZG2qo3je	Child recreational drug PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64568-9	LOINC	Qualified	False
Q1lZM39snse	Child recreational drug list PhenX			Text		PhenX > Miscellaneous		LOINC:64569-7	LOINC	Qualified	False
QkDW2qinig	Child restless sleep PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64510-1	LOINC	Qualified	False
7yjlCU5onig	Child seizure brain problem PhenX			Value List	0=No | 1=Yes | 9=Don't know	PhenX > Miscellaneous		LOINC:66386-4	LOINC	Qualified	False
QJ3lMh5o2ie	Child sense dreaming awake ever PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64565-5	LOINC	Qualified	False
Qy7j5co2ox	Child serious accident LTVH			Value List	Yes | No	PhenX > Miscellaneous		LOINC:67108-1	LOINC	Qualified	False
Qk4iq5s2il	Child shot stabbed LTVH			Value List	Yes | No	PhenX > Miscellaneous		LOINC:67109-9	LOINC	Qualified	False
7y_eA89ohoe	Child sick today PhenX			Value List	0=No | 1=Yes | 9=Don't know	PhenX > Miscellaneous		LOINC:66383-1	LOINC	Qualified	False
XJimhco3ig	Child sleep disorder dx PhenX			Text		PhenX > Miscellaneous		LOINC:64585-3	LOINC	Qualified	False
Qy3Xhqi2og	Child sleep disorder start date PhenX			Text		PhenX > Miscellaneous		LOINC:64586-1	LOINC	Qualified	False
7y6Qnci3il	Child sleep disorder still present PhenX			Value List	Yes | No	PhenX > Miscellaneous		LOINC:64587-9	LOINC	Qualified	False
m1WgW29ihig	Child sleep mouth open PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64520-0	LOINC	Qualified	False
Qkogb3cshoe	Child sleep talking PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64530-9	LOINC	Qualified	False
7JcgZh9ohsg	Child sleep walking PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64529-1	LOINC	Qualified	False
X1YM35ihil	Child sleepy problem day PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64548-1	LOINC	Qualified	False
Xy_een9j3ox	Child snore > half time PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64501-0	LOINC	Qualified	False
7Jwgx39ohjx	Child snore ever PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64500-2	LOINC	Qualified	False
7yxZ3qs2ig	Child snore loudly PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64503-6	LOINC	Qualified	False
7kbgtn5o2jg	Child social situations easy AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65061-4	LOINC	Qualified	False
7Jci5ci2sl	Child something sexual LTVH		"By ""something sexual,"" we mean someone putting an object or part of their body inside your private sexual parts, inside your rear end, or inside your mouth; we also mean someone putting your private parts inside their mouth."	Value List	Yes | No	PhenX > Miscellaneous		LOINC:67114-9	LOINC	Qualified	False
Q1njcqj3sl	Child something sexual stopped LTVH		Other than what we just talked about	Value List	Yes | No	PhenX > Miscellaneous		LOINC:67115-6	LOINC	Qualified	False
71TxRL9ihjx	Child steroids anti-CA drugs PhenX			Value List	0=No | 1=Yes | 9=Don't know	PhenX > Miscellaneous		LOINC:66388-0	LOINC	Qualified	False
QJBlo99s3se	Child stolen property LTVH			Value List	Yes | No	PhenX > Miscellaneous		LOINC:67123-0	LOINC	Qualified	False
XJwgic5ohog	Child stolen something LTVH		This could be taking something from your pocket or backpack.	Value List	Yes | No	PhenX > Miscellaneous		LOINC:66934-1	LOINC	Qualified	False
QJXW25ihsg	Child stop breathing ever PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64506-9	LOINC	Qualified	False
QkZezncs2jl	Child stop grow normal rate spec PhenX			Text		PhenX > Miscellaneous		LOINC:65880-7	LOINC	Qualified	False
m1elz2cihol	Child stop growing normal rate PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64555-6	LOINC	Qualified	False
mJYnv9s3sg	Child strabismus dx date PhenX			Text		PhenX > Miscellaneous		LOINC:64788-3	LOINC	Qualified	False
QJOgjDqihig	Child strabismus eye PhenX			Value List	1=Yes | 2=No | 7=Refused | 9=Don't know	PhenX > Miscellaneous		LOINC:64767-7	LOINC	Qualified	False
XkYesP9onsg	Child strabismus treatment PhenX			Value List	1=Glasses or contact lenses | 2=Patching | 3=Eye drops | 4=Vision therapy | 5=Eye muscle surgery | 6=Botulinum injections | 7=Other | 8=None | 88=Refused | 99=Don't know	PhenX > Miscellaneous		LOINC:64768-5	LOINC	Qualified	False
X18eY35jnjx	Child strong interests AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65066-3	LOINC	Qualified	False
XyqF25o2ol	Child strongly absorbed AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65054-9	LOINC	Qualified	False
myM_hcohox	Child struggle breathing PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64505-1	LOINC	Qualified	False
7yFeG35o3ix	Child sudden weak legs ever PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64562-2	LOINC	Qualified	False
Q1lgi5cjnsl	Child suicide LTVH			Value List	Yes | No	PhenX > Miscellaneous		LOINC:67118-0	LOINC	Qualified	False
QkvxM39jhjg	Child surgery ever PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64560-6	LOINC	Qualified	False
X1_qn9i3jl	Child switch after interrupt AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65087-9	LOINC	Qualified	False
Q1fq29jhjl	Child tell if boring others AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65081-2	LOINC	Qualified	False
XJCxYh5ohix	Child theatre over museum AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65074-7	LOINC	Qualified	False
7ySi59o3jx	Child threatened LTVH			Value List	Yes | No	PhenX > Miscellaneous		LOINC:67110-7	LOINC	Qualified	False
Q1Uiq5inie	Child threatened in front of you LTVH			Value List	Yes | No	PhenX > Miscellaneous		LOINC:67111-5	LOINC	Qualified	False
Q1ebZnconsl	Child time fall asleep PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64535-8	LOINC	Qualified	False
XkzlMhqjhsl	Child tonsils removed PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64556-4	LOINC	Qualified	False
7kegth5j3og	Child track diff conversations AQ Adol			Value List	1=Definitely agree | 2=Slightly agree | 3=Slightly disagree | 4=Definitely disagree	PhenX > Miscellaneous		LOINC:65060-6	LOINC	Qualified	False
7yCl0U9inog	Child transfusion immune globulin PhenX			Value List	0=No | 1=Yes | 9=Don't know	PhenX > Miscellaneous		LOINC:66389-8	LOINC	Qualified	False
7kLgo9co2jx	Child tried to steal LTVH		This could be something like a stick-up, mugging, or carjacking. But they didn't get anything because you or someone else stopped them	Value List	Yes | No	PhenX > Miscellaneous		LOINC:67124-8	LOINC	Qualified	False
QJgG2cs2sx	Child trouble back asleep PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64539-0	LOINC	Qualified	False
QyWfn5s3ix	Child trouble back sleep morn PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64540-8	LOINC	Qualified	False
719ez29jnig	Child unable move able ever PhenX			Value List	1=Yes | 2=No | 3=Don't know	PhenX > Miscellaneous		LOINC:64563-0	LOINC	Qualified	False
